PuzzleId,Fen,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,MoveCount,Level,MateType,Instructions,Explanation
sZyb1,2k5/2b2N2/4pp2/q2p4/b7/Q7/5PPP/R1Bn3K w - - 1 40,c1f4 a5e1,767,80,100,14493,backRankMate mate mateIn1 middlegame oneMove,1,1,backRankMate,"The Black king is dangerously exposed to White's forcing attack.

Focusing on a forced checkmate is the best way to develop your tactical calculation skills, learn to recognize powerful attacking patterns, and understand how to exploit an opponent's vulnerable king position.","The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
AzkU6,rn3k2/1p2ppb1/3p2b1/2pP4/p1P5/1P2PN1Q/3N1PP1/q2BK2R b K - 1 21,g6d3 h3c8,1490,82,94,10922,backRankMate mate mateIn1 middlegame oneMove,1,1,backRankMate,"The opponent's centralized and exposed King allows you to ignore their check and use your coordinated Queen and Rook for a forced, decisive counter-attack.","The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
vC8rM,3rk1nr/pp3ppp/2n1p3/4P3/1bB5/1QN5/2b1NPPP/R1Bq1K1R w k - 8 16,c3d1 d8d1,972,86,96,9361,backRankMate mate mateIn1 oneMove opening,1,1,backRankMate,"The opponent's daring but exposed queen check is met by your forced material-winning counterattack, which teaches vital defensive precision.","The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
KITdO,r2q1rk1/1R2b1pp/p2Np3/2Q1p3/P3N3/3P4/R1P3PP/7K w - - 0 28,c5e5 f8f1,1013,90,95,9283,backRankMate mate mateIn1 middlegame oneMove,1,1,backRankMate,"White's overwhelming centralized pieces and attack overwhelm Black's weak, uncoordinated king defense.","The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
nqZkU,r1bqk1nr/ppN1b1pp/5p2/3pQ3/1P6/P1P5/5PPP/RN2KB1R b KQkq - 1 14,e8d7 f1b5,1428,75,94,10728,balestraMate mate mateIn1 oneMove opening,1,1,balestraMate,"Black's uncastled King and major pieces are under critical, immediate pressure from White's aggressive, well-positioned central pieces.",A Queen checks the King while a Bishop stands nearby to block the side exits.
JLVQb,3r1r1k/ppp2Bpp/8/5b2/1n6/q3BN1P/2PQ1PP1/1K1R3R w - - 1 19,d2d8 f5c2,1793,82,91,10079,balestraMate mate mateIn1 middlegame oneMove queensideAttack,1,1,balestraMate,"Black's exposed king allows White's immediate, concentrated attack. Attacking is right because it trains tactical vision, forcing you to calculate checks and decisive threats to exploit weaknesses.",A Queen checks the King while a Bishop stands nearby to block the side exits.
i7Ixj,6rk/5prp/1p3Q2/4N3/1P4b1/P3q1P1/7P/R1R3K1 w - - 0 30,g1f1 g4h3,1674,79,91,9771,balestraMate mate mateIn1 middlegame oneMove,1,1,balestraMate,"Opponent's king side is weakened, necessitating an immediate forced counter-attack to leverage your strong centralized queen and knight.",A Queen checks the King while a Bishop stands nearby to block the side exits.
d6SvQ,2N1Q3/5pk1/3b1p2/8/3P4/4Pqp1/P4P2/4K3 w - - 2 38,f2g3 d6b4,1812,81,90,9117,balestraMate endgame mate mateIn1 oneMove,1,1,balestraMate,"Black's exposed King and weak back rank enable White to force a decisive, winning combination.",A Queen checks the King while a Bishop stands nearby to block the side exits.
Brwyn,1k1r1b1r/1pp1pppp/8/QN3b2/3P4/4qPB1/PPP2K1P/R4n1R w - - 4 18,f2f1 f5h3,1740,77,91,8584,balestraMate mate mateIn1 middlegame oneMove,1,1,balestraMate,"Black's exposed king is vulnerable to White's concentrated attack, demanding a forcing counter-combination to nullify the immediate threats.",A Queen checks the King while a Bishop stands nearby to block the side exits.
JOctW,6k1/8/1Bb3Q1/4ppP1/p3q3/K3P3/7p/8 b - - 0 44,g8f8 b6c5,1360,75,96,8506,balestraMate endgame mate mateIn1 oneMove,1,1,balestraMate,Your active Queen and Bishop create an inescapable mating net around the opponent's severely exposed King.,A Queen checks the King while a Bishop stands nearby to block the side exits.
3Dh0V,r3r1k1/1p3pp1/8/p1bB2Rp/P4Bn1/2NP3q/1PP2P2/R2Q2K1 w - - 1 18,d5b7 c5f2,1447,77,92,15687,balestraMate kingsideAttack mate mateIn1 middlegame oneMove,1,1,balestraMate,White's focused kingside attack against Black's exposed King demands a forcing tactical solution to practice checkmate combinations.,A Queen checks the King while a Bishop stands nearby to block the side exits.
SAXdR,r1bq2kr/pp1nb2p/2p1p1BQ/3nP3/3P4/8/PPP3PP/RNB2RK1 b - - 0 13,e7f8 g6f7,1474,76,94,13345,balestraMate mate mateIn1 oneMove opening,1,1,balestraMate,Black's dangerously exposed king invites White's immediate and forcing checkmate combination.,A Queen checks the King while a Bishop stands nearby to block the side exits.
q8cqW,8/p3kpQp/4pn2/1b6/3q1N2/6P1/1p3PBP/1R1KR3 w - - 0 30,d1c2 b5a4,1565,75,95,12588,balestraMate mate mateIn1 middlegame oneMove,1,1,balestraMate,Black's vulnerable king warrants an immediate forced attack despite their dangerous passed pawn and active queen.,A Queen checks the King while a Bishop stands nearby to block the side exits.
noyV4,2k5/7p/3Qp1p1/4N3/8/6P1/3p1PKP/4qB2 b - - 9 40,d2d1q f1a6,1672,78,94,11578,balestraMate endgame master mate mateIn1 oneMove,1,1,balestraMate,"The opponent's exposed king and your highly active pieces demand an urgent, decisive checkmate combination.",A Queen checks the King while a Bishop stands nearby to block the side exits.
6XXtQ,2k5/8/1R3B2/8/8/5P2/1p3PK1/1r5r w - - 6 65,b6b2 b1g1,1170,75,96,13976,blindSwineMate endgame mate mateIn1 oneMove,1,1,blindSwineMate,"The opponent's trapped king and your coordinated heavy pieces create a clear, forced tactical sequence for an instructive checkmate.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
5hcmT,6R1/5p1k/2p5/1p1b2R1/7p/PP2B3/2PPr2r/2K5 b - - 1 37,f7f6 g5g7,1495,77,96,16723,blindSwineMate endgame mate mateIn1 oneMove pillsburysMate,1,1,blindSwineMate,White's powerful rooks on the g-file exploit the exposed black king to force a quick checkmate.,Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
Xebwu,2k2r2/ppp1n3/2n5/3p4/3P4/2NB4/PPP1Kr2/R3R3 w - - 0 25,e2e3 f8f3,1278,76,97,16262,blindSwineMate mate mateIn1 middlegame oneMove,1,1,blindSwineMate,"The opponent's overextended attack allows your King to safely centralize, gaining tempo and creating threats, which is how you secure an advantage in tactical positions.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
cHulm,r5kR/pp3b2/1qp1p2R/3pP3/3P2p1/2PB4/PP5P/6K1 b - - 8 24,g8g7 h6h7,1278,78,95,17004,blindSwineMate endgame master mate mateIn1 oneMove operaMate,1,1,blindSwineMate,Exploiting the opponent's dangerously exposed h-file king with your concentrated attack guarantees an immediate forced checkmate.,Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
5hcmT,6R1/5p1k/2p5/1p1b2R1/7p/PP2B3/2PPr2r/2K5 b - - 1 37,f7f6 g5g7,1495,77,96,16723,blindSwineMate endgame mate mateIn1 oneMove pillsburysMate,1,1,blindSwineMate,"White's concentrated kingside force exploits the exposed black king, forcing a fatal response and demonstrating the power of a quiet key move.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
cHulm,r5kR/pp3b2/1qp1p2R/3pP3/3P2p1/2PB4/PP5P/6K1 b - - 8 24,g8g7 h6h7,1278,78,95,17004,blindSwineMate endgame master mate mateIn1 oneMove operaMate,1,1,blindSwineMate,"White's massive kingside attacking advantage against the deeply exposed Black king dictates an immediate, forced checkmate sequence.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
dv9yK,3r1k2/1R5R/p3p3/3rK3/8/8/PP5P/8 w - - 5 30,e5e6 d8d6,1313,75,96,15922,blindSwineMate endgame mate mateIn1 oneMove rookEndgame,1,1,blindSwineMate,"Your King is active and the opponent's King is exposed, so forcing moves lead to a decisive advantage.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
eXdVF,4r1k1/R7/8/4rK2/8/2R4P/6P1/8 w - - 1 48,f5f6 e8e6,1277,84,93,15826,blindSwineMate endgame mate mateIn1 oneMove rookEndgame,1,1,blindSwineMate,"The centralized King is an active, decisive force against Black's passive King and tangled defense.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
yqMMk,r7/p2R3p/1pk1rbp1/2p1p3/2P5/5P2/PP4PP/2KR4 b - - 1 23,e6e7 d1d6,1178,76,97,15323,blindSwineMate endgame master mate mateIn1 oneMove,1,1,blindSwineMate,"White's centralized rooks and the exposed Black king allow a forced checkmate attack, which is the primary objective in all puzzles.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
2ezI2,3r2k1/p5pp/2p1p3/4p3/2P1P3/1B2KPPn/P2r3P/R4R2 w - - 3 27,f1d1 d8d3,1318,75,96,14710,blindSwineMate endgame mate mateIn1 oneMove,1,1,blindSwineMate,"Black's restricted king and overextended rooks allow White a forced tactical sequence for decisive gain, training the student to prioritize active and forcing lines.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
bgMv7,2k4r/B1p2pp1/2pb4/8/4P3/5P2/PPP2P2/R3R1Kr w - - 1 19,g1g2 h8h2,1056,86,94,14543,blindSwineMate endgame mate mateIn1 oneMove operaMate,1,1,blindSwineMate,Black's exposed King and scattered defensive pieces allow White to ignore the immediate threats and focus on a forced mating combination.,Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
vydH7,2r3Rk/p6P/4p1R1/1p1p2P1/2nP4/2P2K2/7r/8 b - - 8 40,h8h7 g6g7,1376,75,96,14481,blindSwineMate endgame mate mateIn1 oneMove,1,1,blindSwineMate,"The opponent's king has no defense after the h7-pawn capture, so your concentrated rook attack is a necessary lesson in forcing checkmate.",Two Rooks team up on the 7th rank to trap and feast on the King at the very top.
7nPf5,rn2k1n1/ppp2pp1/5q2/2b5/6b1/8/PPPPP1BP/RNB1QK1R w q - 4 12,g2f3 g4h3,1734,85,91,28150,bodenMate master mate mateIn1 oneMove opening pin,1,1,bodenMate,Black's centralized King is vulnerable to White's forcing attack and immediate checkmate threat.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
Di2zv,rn2k1n1/ppp2pp1/5q2/8/3b2b1/8/PPP1P1BP/RNB1QK1R w q - 2 12,g2f3 g4h3,1644,88,90,20144,bodenMate master mate mateIn1 oneMove opening pin,1,1,bodenMate,Black's exposed King and undeveloped back rank offer White a chance to win through immediate coordination and central attack.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
vllU9,r1kq1b1r/pb1pn1pp/1p3p2/1B3P2/2QpPB2/3P4/PPP3PP/R2K3R b - - 2 15,b7c6 b5a6,1848,86,91,17942,bodenMate mate mateIn1 middlegame oneMove,1,1,bodenMate,Exploit the centrally-exposed Black King with concentrated forces for a swift checkmate.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
qC9Ve,r3r1k1/p4pp1/2Bb1n1p/3p4/2pP4/2PbqNPP/P2N1P2/R2QK2R w KQ - 0 21,f2e3 d6g3,1643,89,87,17067,bodenMate mate mateIn1 middlegame oneMove,1,1,bodenMate,Black's aggressive Queen is the key target for White's decisive Bishop-led counterattack.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
nPBz7,rnq1k2r/5p1p/p5p1/1p1Npb2/1b3P2/1P2P3/PB1P2QP/2KR1B1R w kq - 2 16,b2c3 b4a3,1776,87,92,15143,bodenMate mate mateIn1 middlegame oneMove pin,1,1,bodenMate,The opponent's uncastled king and weak development invite White's powerful central attack.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
KYz35,2krr3/p2p1p2/1pb4p/3nB3/1P6/P2B1pP1/5P1P/2R1R1K1 b - - 3 22,f7f6 d3a6,1868,86,89,14227,bodenMate mate mateIn1 middlegame oneMove,1,1,bodenMate,"Black's exposed King and weak queenside structure demand an immediate, forcing sequence to secure the winning advantage.",Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
rG9QB,Bn2k1n1/p4pp1/8/5q2/3b2b1/8/PP2P2P/RNB1QK1R w - - 1 18,a8f3 g4h3,1779,86,91,13849,bodenMate mate mateIn1 middlegame oneMove,1,1,bodenMate,Black's active but vulnerable position demands a decisive tactical counter-attack to force a checkmate.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
MUICw,2rqr1k1/pp3ppp/5n2/5b2/1b1N4/1PB2N2/3PQPPP/2KR1B1R w - - 0 16,e2b5 b4a3,1812,82,92,11664,bodenMate master mate mateIn1 oneMove opening,1,1,bodenMate,"Black's exposed queenside and congested pieces allow White's aggressive Queen move to create a decisive tactical threat and gain material, demonstrating how to convert a positional advantage.",Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
slX7n,r1br4/ppp1kppp/2p5/4P3/5P2/1Pb5/P1P3PP/1RBK1B1R w - - 1 13,f1d3 c8g4,1716,86,88,13618,bodenMate mate mateIn1 middlegame oneMove pin,1,1,bodenMate,Resolve Black's immediate threat by activating your last piece to enable a decisive central attack on the exposed king.,Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
HJ2Yl,r3r1k1/ppN2ppp/8/2P5/3b1PbP/4P3/P4P2/1R2KB1R w K - 1 17,c7a8 d4c3,1529,92,87,12917,bodenMate mate mateIn1 middlegame oneMove,1,1,bodenMate,"White's powerful deep Knight on c7 instantly wins Black's Rook, securing a decisive material advantage that must be converted.",Two Bishops crisscross their paths like a pair of scissors to 'snip' the King.
F9GeR,6k1/1p3p2/2p1pp1p/p7/PNP2P2/1P5r/1Q3qB1/1R3n1K w - - 0 33,g2h3 f1g3,1774,85,70,198768,cornerMate endgame mate mateIn1 oneMove,1,1,cornerMate,"Despite the immediate check, the opponent's overextended pieces are vulnerable to a forced counter-combination, which is necessary to survive the attack and secure a decisive advantage.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
QRVYZ,5b1r/NR2np1p/2Rkp1p1/3r4/5P2/4B3/P3KP1P/8 b - - 0 22,e7c6 a7c8,1646,79,96,30345,cornerMate master mate mateIn1 middlegame oneMove,1,1,cornerMate,"Black's central king is vulnerable to White's focused pieces.

This is the right time to attack and go for checkmate because the Black king is dangerously misplaced and exposed on d6, which demands a direct and forcing combination to exploit this critical, temporary positional weakness.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
thYKI,8/pR1P4/7p/1kP3p1/3K4/8/P7/4r3 b - - 4 45,b5c6 d7d8n,910,84,91,23437,advancedPawn cornerMate endgame mate mateIn1 oneMove promotion underPromotion,1,1,cornerMate,"Black's king is highly exposed and cannot stop White's advanced pawn, making the attack the only path to convert this winning material advantage.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
hrX2I,3r4/1R6/4pk2/1p6/1Pn1pP2/1KP3P1/4N2R/1r6 w - - 3 39,b3c2 c4a3,2094,83,94,20200,cornerMate endgame mate mateIn1 oneMove,1,1,cornerMate,"Black's exposed King is a primary target for White's coordinated, forcing attack.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
6DEtJ,8/2p1Q3/kpbN4/p7/6p1/KP4P1/P1rn4/8 w - - 10 36,d6c4 d2b1,1665,81,93,18177,cornerMate endgame mate mateIn1 oneMove,1,1,cornerMate,"Black's exposed king and limited defense allow White's pieces to force checkmate, crucial for developing calculation skills.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
Bw1rN,r4k2/pbp2p1p/1p1qp1p1/8/1b1n4/2P2QP1/P1P1NP1P/3RKB1R w K - 0 15,f3b7 d4c2,1388,76,91,16775,cornerMate mate mateIn1 middlegame oneMove,1,1,cornerMate,"The opponent's uncastled king and vulnerable bishop justify White's immediate, aggressive capture to gain material despite Black's counter-attack.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
6jg5w,2r2rRk/5p1p/1p5N/3P4/pb2PP2/7P/6RK/8 b - - 1 38,f8g8 h6f7,1225,74,96,15822,cornerMate endgame mate mateIn1 oneMove,1,1,cornerMate,Black's exposed king and weak defense mean White's powerful attack can force a quick mate.,"A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
MB40o,4N3/p4n2/1p2R1k1/6pp/2Pp1p2/r2P3P/5PP1/6K1 b - - 7 45,g6f5 e8g7,1709,84,93,15601,cornerMate endgame mate mateIn1 oneMove,1,1,cornerMate,"The opponent's exposed king has walked into the center, allowing a decisive checkmate attack with your Knight and Rook.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
7CfTJ,1rr1nN1k/2q2Qp1/2n4R/1p1p2P1/3P1P2/2P4P/1P6/5RK1 b - - 2 28,g7h6 f8g6,1315,77,95,15474,cornerMate mate mateIn1 middlegame oneMove,1,1,cornerMate,"Black's exposed king demands White's immediate, forced checkmate attack.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
YRKEI,4rN2/3R2P1/1p3k2/p4P2/3P1K2/1r6/8/8 b - - 3 48,b3e3 g7g8n,848,88,89,15270,advancedPawn cornerMate endgame mate mateIn1 oneMove promotion underPromotion,1,1,cornerMate,"The Black King's exposed position and White's immediate pawn promotion threat create a decisive, forcing tactical advantage for White.","A Knight (or Rook) traps the King in the corner, using the King's own Pawn to block him in."
h5zNf,5r1k/pb3B1p/1pq1P1p1/2b5/8/2P3B1/P4RPP/3Q3K b - - 0 28,c5f2 g3e5,1290,101,88,7179,doubleBishopMate mate mateIn1 middlegame oneMove,1,1,doubleBishopMate,Black's exposed king warrants your coordinated and forcing counterplay.,Two Bishops work together on side-by-side diagonals to force the King into a dead end.
n0FrT,2qr3k/p6p/1p2B1p1/1bb1p1B1/Q1p2P2/2P3P1/P6P/3R1K2 b - - 9 27,b5a4 g5f6,1321,92,88,6198,doubleBishopMate master mate mateIn1 middlegame oneMove,1,1,doubleBishopMate,The exposed opponent king and active white bishops create a decisive checkmate opportunity.,Two Bishops work together on side-by-side diagonals to force the King into a dead end.
drdtm,1rq1kb1r/2pn1pp1/p3Q1bp/2p5/3P2PB/3B1N1P/PP3P2/4RRK1 b k - 0 19,f7e6 d3g6,1458,89,88,6190,doubleBishopMate hangingPiece mate mateIn1 middlegame oneMove,1,1,doubleBishopMate,"White has a material lead and a focused attack which the opponent's exposed king cannot defend against, making a forcing tactical sequence the right choice.",Two Bishops work together on side-by-side diagonals to force the King into a dead end.
